0.491072,32.1197,2036.36,31.1335
0.446212,16.0638,2241.09,62.2518
0.448296,2.3432,2230.67,426.767
0.427229,1.5747,2340.66,635.042
0.430999,2.0861,2320.19,479.363
0.45921,1.7132,2177.65,583.703
0.432751,1.7817,2310.8,561.262
0.426059,1.7306,2347.1,577.834
0.4455,1.9766,2244.67,505.919
0.445344,3.4526,2245.46,289.637
0.426564,2.4513,2344.32,407.947
0.442736,2.2426,2258.68,445.911
0.438906,2.6388,2278.39,378.96
0.432418,2.2463,2312.57,445.177
0.445306,2.2236,2245.65,449.721
0.432218,2.4705,2313.65,404.776
0.437534,2.3154,2285.54,431.891
0.450504,2.4489,2219.73,408.347
0.424468,2.1778,2355.89,459.179
0.435746,2.1144,2294.92,472.947
0.446284,2.2103,2240.73,452.427
0.43148,2.4259,2317.61,412.218
0.428545,2.15,2333.48,465.116
0.460222,2.1866,2172.87,457.331
0.436786,2.5279,2289.45,395.585
0.429106,2.0333,2330.43,491.811
0.44767,2.6009,2233.79,384.482
0.445947,2.1392,2242.42,467.464
0.430123,1.9375,2324.92,516.129
0.451533,1.9772,2214.68,505.766
0.441459,1.8744,2265.22,533.504
0.434505,2.0672,2301.47,483.746
0.446534,2.0627,2239.47,484.801
0.435353,2.1587,2296.99,463.242
0.447244,1.8906,2235.91,528.933
0.452736,1.9894,2208.79,502.664
0.431191,2.4233,2319.16,412.66
0.431815,2.1293,2315.81,469.638
0.467662,2.3373,2138.3,427.844
0.430231,1.7781,2324.33,562.398
0.431458,1.9029,2317.72,525.514
0.466931,1.9824,2141.64,504.439
0.443475,2.2282,2254.92,448.793
0.44178,2.4916,2263.57,401.349
0.461837,2.1491,2165.27,465.311
0.466794,2.31,2142.27,432.9
0.473628,8.6692,2111.36,115.351
0.759333,10.0571,1316.95,99.4322
