2.03519,27.3692,491.354,36.5374
1.2391,21.5244,807.037,46.4589
1.28028,21.4699,781.08,46.5768
1.52384,22.4783,656.239,44.4874
1.54106,22.6561,648.904,44.1382
1.71173,22.2466,584.205,44.9507
1.57136,24.0559,636.393,41.5698
1.62193,21.7842,616.55,45.9048
1.61186,23.1495,620.401,43.1975
1.67194,24.2145,598.107,41.2976
1.50835,21.3374,662.976,46.8661
1.54489,20.6825,647.297,48.3501
1.68374,23.5276,593.915,42.5033
1.5538,24.4131,643.585,40.9616
1.67376,22.366,597.456,44.7107
1.52461,23.6732,655.905,42.2419
1.55857,22.8584,641.614,43.7476
1.73135,21.8029,577.585,45.8655
1.58317,22.1783,631.642,45.0891
1.56406,20.9754,639.361,47.6749
1.64269,22.3341,608.758,44.7746
1.71596,23.4007,582.765,42.7338
1.54963,25.1534,645.314,39.7561
1.50173,22.0065,665.898,45.4411
1.66172,22.6798,601.787,44.0921
1.69167,25.1468,591.131,39.7665
1.70013,24.338,588.192,41.088
1.58242,21.4218,631.945,46.6814
1.64578,23.3499,607.613,42.8267
1.48396,22.4943,673.872,44.4557
1.65737,22.4813,603.367,44.4814
1.43951,25.5157,694.681,39.1916
1.62578,23.791,615.089,42.0327
1.60784,24.3929,621.951,40.9955
1.55833,21.4786,641.715,46.558
1.51104,21.3752,661.798,46.7832
